Name,Type,Difficulty,Seasons,Family.Friendly,Backpackable,Crowded,Length,Elevation.Gain
Ainsworth Loop Hike,Loop,Easy,All year,Yes,No,No,0.5,85
Aldrich Butte Hike,Out and Back,Moderate,All Season,No,No,No,13.8,2405
Aldrich Butte-Cedar Falls Loop Hike,Lollipop loop,Difficult,Year round,No,No,No,16.4,3105
Angels Rest Hike,Out and Back,Moderate,All Season,Yes,No,Yes,4.8,1475
Angels Rest-Devils Rest Loop Hike,Loop,Moderate,All Season,Yes,No,Yes,10.8,3040
Archer Mountain Loop Hike,Lollipop loop,Moderate,Spring through fall,No,No,No,6.3,1780
Augspurger Mountain Hike,Out-and-back,Difficult,Spring through fall; snowshoe in winter,No,No,No,12.6,4767
Balfour-Klickitat Loop Hike,Loop,Easy,All year,Yes,No,No,0.7,115
Beacon Rock Hike,Out and Back,Moderate,"Year round, except during ice storms",Yes,No,Yes,1.8,680
Bear Lake Hike,In and out,Easy,Summer/Fall,Yes,Yes,No,2.6,480
Bell Creek Loop Hike,Dogbone (Out to a loop and back),Difficult,May-Oct,No,Yes,Sometimes,17,3330
Benson Plateau Loop Hike,Lollipop loop,Difficult,Late May into October,No,Yes,Yes,16.4,4030
Bridal Veil Falls Hike,In and out + universal access loop,Easy,All year,Yes,No,Yes,1.4,205
Buck Creek on Larch Mountain Hike,In and out,Easy,"All year, except during winter snows",Yes,No,No,1.8,310
Buck Point Hike,Out and back,Easy,Year-round,Yes,No,No,1.8,600
Camp Benson Falls Hike,Out and back,Easy,All year,Yes,No,No,4.9,430
Cape Horn Loop Hike,Loop,Moderate,July 16th to January 31st for the loop,No,No,Yes,7.4,1230
Cape Horn Overlooks Hike,In and out,Moderate,All year,Yes,No,Yes,5.2,1185
Cascade Locks West Loop Hike,Loop,Easy,Year round,Yes,No,No,3,100
Casey Creek Loop Hike,Loop,Difficult,Summer into Fall,No,Yes,No,11.3,3995
Catherine Creek Arch Loop Hike,Loop,Easy,"Year round, best Mar-May",Yes,No,Yes,3.4,500
