city,date,death,temp,dewpoint,pm10,o3,season,year
chic,1/1/1997,137,36,37.5,13.05226827,5.659256204,winter,1997
chic,1/2/1997,123,45,47.25,41.94860022,5.525416704,winter,1997
chic,1/3/1997,127,40,38,27.04175091,6.288547904,winter,1997
chic,1/4/1997,146,51.5,45.5,25.07257296,7.537758024,winter,1997
chic,1/5/1997,102,27,11.25,15.34312077,20.76079764,winter,1997
chic,1/6/1997,127,17,5.75,9.36465498,14.94087424,winter,1997
chic,1/7/1997,116,16,7,20.22842783,11.92098546,winter,1997
chic,1/8/1997,118,19,17.75,33.13481929,8.678477254,winter,1997
chic,1/9/1997,148,26,24,12.11838093,13.35589185,winter,1997
chic,1/10/1997,121,16,5.375,24.76153415,10.44826392,winter,1997
chic,1/11/1997,110,1.5,-6.625,18.12615098,15.86609374,winter,1997
chic,1/12/1997,127,1,-8.875,16.01376956,15.11528954,winter,1997
chic,1/13/1997,129,3,1.5,34.99107867,9.381068454,winter,1997
chic,1/14/1997,151,10,11.5,64.94540283,8.029507614,winter,1997
chic,1/15/1997,128,19,23.25,26.94195522,7.066110664,winter,1997
chic,1/16/1997,132,9.5,-9.75,27.02290581,20.11302317,winter,1997
chic,1/17/1997,116,-3,-10.375,18.837025,15.36389807,winter,1997
chic,1/18/1997,142,0,-4.125,31.85973969,12.71322334,winter,1997
chic,1/19/1997,124,14,22.625,30.92316755,9.616132624,winter,1997
chic,1/20/1997,124,31,27.25,19.89456552,16.84036922,winter,1997
chic,1/21/1997,127,35,41.625,27.88201718,12.75867647,winter,1997
chic,1/22/1997,121,36.5,20.75,18.50876229,21.02421345,winter,1997
chic,1/23/1997,134,26,18.75,11.84569754,18.66507227,winter,1997
chic,1/24/1997,120,32,29.5,26.68734618,7.131937874,winter,1997
chic,1/25/1997,109,14.5,-1.375,16.61282475,17.16786113,winter,1997
chic,1/26/1997,109,11,17.125,21.64145522,9.960118444,winter,1997
chic,1/27/1997,115,17,8.375,22.67249763,9.167350094,winter,1997
chic,1/28/1997,105,2,-6.375,28.10117958,13.61396724,winter,1997
chic,1/29/1997,114,8,11,51.77660722,7.945009134,winter,1997
chic,1/30/1997,120,16.5,16.375,48.74146151,7.660618854,winter,1997
chic,1/31/1997,117,31.5,33.75,24.68632857,11.88260771,winter,1997
chic,2/1/1997,126,35,29.66666667,23.78494307,16.67618192,winter,1997
chic,2/2/1997,97,36.5,29.625,27.76214986,12.03236807,winter,1997
chic,2/3/1997,96,30,28,21.60092806,21.84955884,winter,1997
chic,2/4/1997,119,34.5,32,17.05089956,10.88754905,winter,1997
chic,2/5/1997,125,30,24.25,10.15774888,14.89403055,winter,1997
chic,2/6/1997,116,26,21.875,15.94308573,15.95782395,winter,1997
chic,2/7/1997,118,25.5,23.375,33.01070351,14.39124306,winter,1997
chic,2/8/1997,121,25.5,22.5,14.95590898,19.74964468,winter,1997
chic,2/9/1997,114,26,21,30.41044863,12.39763533,winter,1997
chic,2/10/1997,111,27,21.75,23.9148131,14.19356203,winter,1997
chic,2/11/1997,107,23.5,19.5,22.97234734,20.492388,winter,1997
